NOAA.ID,Order,Acquisition,Name,Sex,Species,Birth.Date,Captivity.Date,Owner,Facility.Date,Facility,Purpose,Status
NOA0000141,1,UNKNOWN,-,MALE,Killer Whale; Orca,1-Jan-78,Unknown,Windsor Safari Park,Unknown,Windsor Safari Park,Public Display,DEAD
NOA0000719,1,UNKNOWN,-,MALE,Beluga Whale,-,Unknown,unreported facility in unspecified foreign country,Unknown,unreported facility in unspecified foreign country,Public Display,-
NOA0000719,2,TRANSFER,BLANCHON,MALE,Beluga Whale,-,-,Wildlife Conservation Society,-,New York Aquarium,Public Display,-
NOA0000719,3,TRANSPORT,-,MALE,Beluga Whale,-,-,Wildlife Conservation Society,19-Jun-62,New York Aquarium,Public Display,DEAD
NOA0000720,1,CAPTURE,-,FEMALE,Beluga Whale,1-Jan-72,25-Jul-76,unreported facility in unspecified foreign country,Unknown,unreported facility in unspecified foreign country,Public Display,-
NOA0000720,2,TRANSFER,KATHY,FEMALE,Beluga Whale,1-Jan-72,-,Mystic Aquarium,-,New York Aquarium,Public Display,-
NOA0000720,3,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-72,-,Mystic Aquarium,29-Jul-76,New York Aquarium,Public Display,-
NOA0000720,4,TRANSFER,AMY LOU,FEMALE,Beluga Whale,1-Jan-72,-,Wildlife Conservation Society,-,New York Aquarium,Public Display,DEAD
NOA0000721,1,CAPTURE,-,FEMALE,Beluga Whale,1-Jan-69,15-Jul-73,unreported facility in unspecified foreign country,Unknown,unreported facility in unspecified foreign country,Public Display,-
NOA0000721,2,TRANSFER,-,FEMALE,Beluga Whale,1-Jan-69,-,Sea World LLC,-,Unknown,Public Display,-
NOA0000721,3,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-69,-,Sea World LLC,Unknown,Unknown,Public Display,-
NOA0000721,4,TRANSFER,KATHY,FEMALE,Beluga Whale,1-Jan-69,-,Wildlife Conservation Society,-,New York Aquarium,Public Display,-
NOA0000721,5,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-69,-,Wildlife Conservation Society,24-Feb-76,New York Aquarium,Public Display,DEAD
NOA0000722,1,UNKNOWN,-,MALE,Beluga Whale,1-Jan-70,Unknown,unreported facility in unspecified foreign country,Unknown,unreported facility in unspecified foreign country,Public Display,-
NOA0000722,2,TRANSFER,NEWFY,MALE,Beluga Whale,1-Jan-70,-,Wildlife Conservation Society,-,New York Aquarium,Public Display,-
NOA0000722,3,TRANSPORT,-,MALE,Beluga Whale,1-Jan-70,-,Wildlife Conservation Society,22-Jul-75,New York Aquarium,Public Display,DEAD
NOA0000723,1,UNKNOWN,-,UNKNOWN,Beluga Whale,-,Unknown,Wildlife Conservation Society,Unknown,New York Aquarium,Public Display,DEAD
NOA0000724,1,UNKNOWN,-,UNKNOWN,Beluga Whale,-,Unknown,Wildlife Conservation Society,Unknown,New York Aquarium,Public Display,DEAD
NOA0000737,1,BIRTH,NYCI,FEMALE,Beluga Whale,24-Aug-81,24-Aug-81,Wildlife Conservation Society,24-Aug-81,New York Aquarium,Public Display,DEAD
NOA0000748,1,CAPTURE,-,FEMALE,Beluga Whale,1-Jan-80,16-Jul-84,unreported facility in unspecified foreign country,Unknown,unreported facility in unspecified foreign country,Public Display,-
NOA0000748,2,TRANSFER,-,FEMALE,Beluga Whale,1-Jan-80,-,Wildlife Conservation Society,-,New York Aquarium,Public Display,-
NOA0000748,3,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-80,-,Wildlife Conservation Society,16-Jul-84,New York Aquarium,Public Display,-
NOA0000748,4,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-80,-,Wildlife Conservation Society,18-Dec-02,Mystic Aquarium,Public Display,-
NOA0000748,5,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-80,-,Wildlife Conservation Society,26-May-05,New York Aquarium,Public Display,-
NOA0000748,6,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-80,-,Wildlife Conservation Society,7-Nov-05,Georgia Aquarium,Public Display,-
NOA0000748,7,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-80,-,Wildlife Conservation Society,5-Oct-09,Sea World of Texas,Public Display,ALIVE
NOA0000749,1,CAPTURE,-,FEMALE,Beluga Whale,1-Jan-80,20-Jul-84,unreported facility in unspecified foreign country,Unknown,unreported facility in unspecified foreign country,Public Display,-
NOA0000749,2,TRANSFER,KRISTOL,FEMALE,Beluga Whale,1-Jan-80,-,Wildlife Conservation Society,-,New York Aquarium,Public Display,-
NOA0000749,3,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-80,-,Wildlife Conservation Society,22-Jul-84,New York Aquarium,Public Display,DEAD
NOA0000750,1,CAPTURE,WINSTON,MALE,Beluga Whale,1-Jan-80,16-Jul-84,unreported facility in unspecified foreign country,Unknown,unreported facility in unspecified foreign country,Public Display,-
