NOAA ID,Acquisition,Name,Sex,Species,Birth Date,Captivity Date,Owner,Facility,Purpose,Status,Facility Date
NOA0000141,UNKNOWN,-,MALE,Killer Whale; Orca,1-Jan-78,Unknown,Windsor Safari Park,Windsor Safari Park,Public Display,DEAD,Unknown
NOA0000719,UNKNOWN,BLANCHON,MALE,Beluga Whale,-,Unknown,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,Unknown
NOA0000719,TRANSFER,BLANCHON,MALE,Beluga Whale,-,-,Wildlife Conservation Society,New York Aquarium,Public Display,-,-
NOA0000719,TRANSPORT,BLANCHON,MALE,Beluga Whale,-,-,Wildlife Conservation Society,New York Aquarium,Public Display,DEAD,19-Jun-62
NOA0000720,CAPTURE,KATHY,FEMALE,Beluga Whale,1-Jan-72,25-Jul-76,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,Unknown
NOA0000720,TRANSFER,KATHY,FEMALE,Beluga Whale,1-Jan-72,-,Mystic Aquarium,New York Aquarium,Public Display,-,-
NOA0000720,TRANSPORT,AMY LOU,FEMALE,Beluga Whale,1-Jan-72,-,Mystic Aquarium,New York Aquarium,Public Display,-,29-Jul-76
NOA0000720,TRANSFER,AMY LOU,FEMALE,Beluga Whale,1-Jan-72,-,Wildlife Conservation Society,New York Aquarium,Public Display,DEAD,-
NOA0000721,CAPTURE,KATHY,FEMALE,Beluga Whale,1-Jan-69,15-Jul-73,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,Unknown
NOA0000721,TRANSFER,KATHY,FEMALE,Beluga Whale,1-Jan-69,-,Sea World LLC,Unknown,Public Display,-,-
NOA0000721,TRANSPORT,KATHY,FEMALE,Beluga Whale,1-Jan-69,-,Sea World LLC,Unknown,Public Display,-,Unknown
NOA0000721,TRANSFER,KATHY,FEMALE,Beluga Whale,1-Jan-69,-,Wildlife Conservation Society,New York Aquarium,Public Display,-,-
NOA0000721,TRANSPORT,KATHY,FEMALE,Beluga Whale,1-Jan-69,-,Wildlife Conservation Society,New York Aquarium,Public Display,DEAD,24-Feb-76
NOA0000722,UNKNOWN,NEWFY,MALE,Beluga Whale,1-Jan-70,Unknown,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,Unknown
NOA0000722,TRANSFER,NEWFY,MALE,Beluga Whale,1-Jan-70,-,Wildlife Conservation Society,New York Aquarium,Public Display,-,-
NOA0000722,TRANSPORT,NEWFY,MALE,Beluga Whale,1-Jan-70,-,Wildlife Conservation Society,New York Aquarium,Public Display,DEAD,22-Jul-75
NOA0000723,UNKNOWN,-,UNKNOWN,Beluga Whale,-,Unknown,Wildlife Conservation Society,New York Aquarium,Public Display,DEAD,Unknown
NOA0000724,UNKNOWN,-,UNKNOWN,Beluga Whale,-,Unknown,Wildlife Conservation Society,New York Aquarium,Public Display,DEAD,Unknown
